image_name,iou,dice,pixel_accuracy,n_predicted,n_true,true_positives,false_positives,false_negatives,precision,recall,f1_score
c96109cbebcf206f20035cbde414e43872074eee8d839ba214feed9cd36277a1,0.9402284101116386,0.9691935291861219,0.9820293209876543,20,20,20,0,1,1.0,0.9523809523809523,0.975609756097561
df53d0b6c2c4e45d759b2c474011e2b2b32552cd100ca4b22388ab9ca1750ee2,0.8944563747713354,0.9442881733070239,0.9852915096430946,52,52,52,0,0,1.0,1.0,1.0
14cc1424c59808274e123db51292e9dbb5b037ef3e7c767a8c45c9ac733b91bf,0.9488028793490167,0.9737289383172066,0.9848533950617284,19,20,19,0,0,1.0,1.0,1.0
b6edad733399c83c8eb7a59c0d37b54e10cc0d59894e39ff843884d84f61dee1,0.9220248439209628,0.959430724152365,0.981304012345679,23,22,23,0,0,1.0,1.0,1.0
f952cc65376009cfad8249e53b9b2c0daaa3553e897096337d143c625c2df886,0.7470103860636405,0.8551871151113216,0.9253662109375,121,119,119,2,4,0.9834710743801653,0.967479674796748,0.9754098360655739
c35e6e3ea39a718e1b7aff66e4cc678efd662f9b5336b74d69c1d6bca7aaf288,0.8902496467263307,0.9419386992275106,0.9893341064453125,35,35,35,0,0,1.0,1.0,1.0
212b858a66f0d23768b8e3e1357704fc2f4cf4bbe7eed8cd59b5d01031d553e6,0.8822194914453162,0.937424668541583,0.9827862511052167,88,93,88,0,3,1.0,0.967032967032967,0.9832402234636871
9586e48a9a4353f11898a6a4b7475a91574e8af82e99c4b7a5e1f1b18f345f7a,0.8715461824743431,0.9313648689364267,0.9826202392578125,85,81,84,1,0,0.9882352941176471,1.0,0.9940828402366864
6c67b78e8164801059375ed9a607f61e67a7ae347e92e36a7f20514224541d56,0.7918558137444379,0.883838763889934,0.94346923828125,57,74,57,0,8,1.0,0.8769230769230769,0.9344262295081968
8a65e41c630d85c0004ce1772ff66fbc87aca34cb165f695255b39343fcfc832,0.8052434456928839,0.8921161825726142,0.99603271484375,8,7,8,0,0,1.0,1.0,1.0
4590d7d47f521df62f3bcb0bf74d1bca861d94ade614d8afc912d1009d607b94,0.8727283386094501,0.9320394427922992,0.9469970703125,50,49,50,0,1,1.0,0.9803921568627451,0.99009900990099
3a22fe593d9606d4f137461dd6802fd3918f9fbf36f4a65292be69670365e2ca,0.9457266187050359,0.9721063685035644,0.9854475308641976,21,20,21,0,0,1.0,1.0,1.0
ad9d305cbf193d4250743ead466bdaefe910835d7e352c544e22320e8336f5c1,0.8767856044924477,0.934348177430275,0.98165283203125,30,30,30,0,0,1.0,1.0,1.0
c0f172831b8017c769ff0e80f85b096ac939e79de3d524e0826fbb95221365da,0.8421573924005042,0.9143164377535559,0.9572021484375,43,47,43,0,2,1.0,0.9555555555555556,0.9772727272727273
3a508d2dc03db46e7f97a2a30eabb62ab2886f3cedfea303de8f6a42e50d20eb,0.8983777165595347,0.946468881006127,0.99493408203125,17,18,17,0,1,1.0,0.9444444444444444,0.9714285714285714
4217e25defac94ff465157d53f5a24b8a14045b763d8606ec4a97d71d99ee381,0.8308039680189517,0.9075837528557854,0.995640754699707,76,87,74,2,12,0.9736842105263158,0.8604651162790697,0.9135802469135803
0d2bf916cc8de90d02f4cd4c23ea79b227dbc45d845b4124ffea380c92d34c8c,0.9478565370831395,0.9732303370786517,0.9852932098765432,19,18,19,0,0,1.0,1.0,1.0
a7f767ca9770b160f234780e172aeb35a50830ba10dc49c526f4712451abe1d2,0.8863719803216095,0.9397637258908935,0.96221923828125,4,6,4,0,1,1.0,0.8,0.888888888888889
79dfcbc9361edd3a1ffe81a5bdaa22a197ad1341f3fa64b86a646c2607d6b324,0.9577661431064572,0.9784275271884472,0.9969910477453581,12,12,12,0,0,1.0,1.0,1.0
23830d0e51245fc0c9e410efa4c17d2a7d83a0104a3777130119ab892de47a4e,0.8382596114096734,0.9120143925338731,0.9761199951171875,36,38,36,0,2,1.0,0.9473684210526315,0.972972972972973
094afe36759e7daffe12188ab5987581d405b06720f1d5acf3f2614f404df380,0.7090069284064665,0.8297297297297297,0.98077392578125,48,51,48,0,6,1.0,0.8888888888888888,0.9411764705882353
64eeef16fdc4e26523d27bfa71a1d38d2cb2e4fa116c0d0ea56b1322f806f0b9,0.8915618512638905,0.9426726920593932,0.9864501953125,78,78,78,0,0,1.0,1.0,1.0
077f026f4ab0f0bcc0856644d99cbf639e443ec4f067d7b708bc6cecac609424,0.9502923976608187,0.974512743628186,0.9992218017578125,6,6,6,0,0,1.0,1.0,1.0
65c8527c16a016191118e8adc3d307fe3a73d37cbe05597a95aebd75daf8d051,0.7536786478975901,0.8595402000259774,0.93399658203125,99,103,97,2,1,0.9797979797979798,0.9897959183673469,0.9847715736040609
309ba76b12ecb5ce28b99f3445b2b5dc54c0564c3c0e24c17e4c89a94a5d0535,0.9061433447098977,0.9507609668755596,0.9974822998046875,9,9,9,0,0,1.0,1.0,1.0
3852c7e45bd885b9537e276861ab50b99bb42f0f8e717d2f88174c62862ca3ff,0.7219741480611046,0.8385423775078477,0.9819488525390625,40,44,40,0,4,1.0,0.9090909090909091,0.9523809523809523
2d53d7ec0c579fffd6710c956288537d46c719a93c6a04ac0d6550f75a6a6493,0.9795390011691999,0.9896637556427457,0.9993230548187445,7,7,7,0,0,1.0,1.0,1.0
af8621ef0db8c26b0bce6385bd5609b584bfd678fcf7a234b8a15e6bb05c15ac,0.9391981759452783,0.9686458945718205,0.9951171875,20,20,20,0,0,1.0,1.0,1.0
df5cdd0ebe1bdf8dc870bc294b8f08961e083bc7f9be69e268454aa9091808b9,0.8227249234683736,0.902741727921129,0.9863922119140625,17,21,17,0,3,1.0,0.85,0.9189189189189189
8cdbdda8b3a64c97409c0160bcfb06eb8e876cedc3691aa63ca16dbafae6f948,0.8073087890731424,0.893382242098387,0.9706868921308577,81,82,81,0,3,1.0,0.9642857142857143,0.9818181818181818
88678981648b184b23b6c04999f29210cbe351f85b61d2bf99e306fd67a2998a,0.9022394487510766,0.9486076522526602,0.9965362548828125,10,10,10,0,0,1.0,1.0,1.0
b6d50fa22380ae3a7e8c52c5bc44a254e7b2596fd8927980dbe2c160cb5689b5,0.9243661366566395,0.9606967396159,0.997314453125,15,15,15,0,0,1.0,1.0,1.0
ed8c31b001a0c23c33402f94a5ee6b0209e0c6419eb52d5d02255513e3a672fc,0.7551399200456882,0.860489709590824,0.9738311767578125,66,71,66,0,5,1.0,0.9295774647887324,0.9635036496350364
d7ec8003735996458b56ccb8ae34d080eb2a6adabef931323239632515b4b220,0.8235294117647058,0.9032258064516129,0.9981689453125,6,6,6,0,0,1.0,1.0,1.0
ba3997edd3fcb2f823ecdf870d2b607f08bff848f72a5cf72340bae5aca7c5ce,0.895778158591681,0.9450242419262059,0.9897918701171875,40,39,39,1,0,0.975,1.0,0.9873417721518987
